gender,age,senior_citizen,married,dependents,number_of_dependents,referred_a_friend,number_of_referrals,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,satisfaction_score,tenure_in_months,churn_label
Male,75,Yes,Yes,No,0,Yes,7,None,Yes,5.31,Yes,Yes,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,20,Yes
Female,69,Yes,No,No,0,No,0,None,Yes,47.47,Yes,Yes,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,2,2,Yes
Female,74,Yes,No,No,0,No,0,None,Yes,27.95,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,2,8,Yes
Male,76,Yes,No,No,0,No,0,None,No,0,No,Yes,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2,52,Yes
Male,69,Yes,No,No,0,No,0,None,Yes,43.99,No,Yes,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,2,Yes
Male,72,Yes,Yes,No,0,Yes,1,None,Yes,27.78,Yes,Yes,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,33,Yes
Female,69,Yes,No,No,0,No,0,None,Yes,45.88,Yes,Yes,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,1,30,Yes
Male,73,Yes,No,No,0,No,0,None,Yes,44.44,Yes,Yes,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,3,20,Yes
Female,65,Yes,No,No,0,No,0,None,Yes,2.37,Yes,Yes,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1,46,Yes
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,21.91,Yes,Yes,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,7,Yes
Female,65,Yes,No,No,0,No,0,None,Yes,36.93,No,Yes,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,4,Yes
Female,66,Yes,No,No,0,No,0,None,Yes,37.38,Yes,Yes,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,3,55,Yes
Male,71,Yes,Yes,No,0,Yes,1,None,Yes,5.37,No,Yes,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,20,Yes
Male,65,Yes,No,No,0,No,0,None,Yes,48.71,Yes,Yes,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,9,Yes
Male,69,Yes,No,No,0,No,0,None,Yes,5.46,No,Yes,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,10,Yes
Male,75,Yes,Yes,No,0,No,0,None,Yes,36.92,Yes,Yes,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,1,Yes
Female,75,Yes,No,No,0,No,0,None,Yes,41.9,Yes,Yes,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,3,Yes
Female,68,Yes,No,No,0,No,0,None,Yes,6.68,Yes,Yes,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,4,Yes
Male,71,Yes,No,No,0,No,0,None,Yes,20.83,Yes,Yes,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,35,Yes
Male,80,Yes,No,No,0,No,0,Offer E,Yes,26.62,No,Yes,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,2,2,Yes
Male,66,Yes,No,No,0,No,0,None,Yes,11.57,No,Yes,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,1,8,Yes
Male,73,Yes,Yes,No,0,Yes,2,None,No,0,No,Yes,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,44,Yes
Male,77,Yes,Yes,No,0,Yes,1,None,Yes,7.11,Yes,Yes,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1,62,Yes
Female,76,Yes,Yes,No,0,Yes,1,None,Yes,33.19,Yes,Yes,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,33,Yes
Female,65,Yes,No,No,0,No,0,Offer E,Yes,49.5,Yes,Yes,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,4,Yes
Male,75,Yes,Yes,No,0,Yes,1,None,Yes,10.6,Yes,Yes,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,27,Yes
Male,75,Yes,No,No,0,No,0,Offer E,Yes,40.45,Yes,Yes,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,8,Yes
Female,68,Yes,Yes,No,0,Yes,1,Offer E,Yes,25.77,No,Yes,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,1,3,Yes
Female,71,Yes,No,No,0,No,0,Offer E,Yes,42.93,No,Yes,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,8,Yes
Male,74,Yes,No,No,0,No,0,None,Yes,11.31,No,Yes,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,3,14,Yes
Male,77,Yes,No,No,0,No,0,None,No,0,No,Yes,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,12,Yes
Female,73,Yes,No,No,0,No,0,None,Yes,40.37,No,Yes,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,13,Yes
Female,68,Yes,No,No,0,No,0,None,Yes,3.96,No,Yes,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,2,11,Yes
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,28.18,Yes,Yes,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,3,17,Yes
Male,65,Yes,Yes,No,0,Yes,1,None,Yes,33.25,Yes,Yes,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3,39,Yes
Female,73,Yes,Yes,No,0,Yes,5,None,Yes,17.25,Yes,Yes,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,11,Yes
Female,74,Yes,Yes,No,0,Yes,1,Offer E,Yes,3.29,No,Yes,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,3,Yes
Male,80,Yes,No,No,0,No,0,None,Yes,34.62,No,Yes,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,21,Yes
Female,76,Yes,No,No,0,No,0,None,Yes,38.75,Yes,Yes,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,16,Yes
Female,73,Yes,No,No,0,No,0,None,Yes,6.13,No,Yes,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,2,46,Yes
Female,70,Yes,Yes,No,0,Yes,1,Offer A,Yes,24.13,Yes,Yes,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,68,Yes
Male,75,Yes,Yes,No,0,Yes,1,Offer E,Yes,13.63,No,Yes,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,7,Yes
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,45.25,Yes,Yes,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,15,Yes
Male,76,Yes,No,No,0,No,0,None,Yes,19.18,Yes,Yes,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,16,Yes
Female,75,Yes,No,No,0,No,0,Offer E,Yes,29.68,No,Yes,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,1,Yes
Female,74,Yes,No,No,0,No,0,None,No,0,No,Yes,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,1,Yes
Female,73,Yes,No,No,0,No,0,None,Yes,19.03,Yes,Yes,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,13,Yes
Female,69,Yes,No,No,0,No,0,None,Yes,20.06,No,Yes,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,1,Yes
Female,75,Yes,Yes,No,0,Yes,1,None,Yes,2.88,Yes,Yes,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,34,Yes
Female,65,Yes,No,No,0,No,0,None,Yes,12.68,No,Yes,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1,4,Yes
Female,77,Yes,No,No,0,No,0,None,Yes,19.27,Yes,Yes,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,2,Yes
Male,67,Yes,No,No,0,No,0,None,Yes,30.8,Yes,Yes,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,2,9,Yes
Female,78,Yes,No,No,0,No,0,None,Yes,42.33,No,Yes,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,1,5,Yes
Male,65,Yes,No,No,0,No,0,Offer D,Yes,40.18,Yes,Yes,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1,22,Yes
Male,74,Yes,No,No,0,No,0,Offer D,Yes,39.97,Yes,Yes,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,19,Yes
Male,70,Yes,No,No,0,No,0,Offer D,Yes,46.38,Yes,Yes,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,3,15,Yes
Male,69,Yes,No,No,0,No,0,None,Yes,11.34,Yes,Yes,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,1,Yes
Female,76,Yes,No,No,0,No,0,None,No,0,No,Yes,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,1,1,Yes
Male,71,Yes,No,No,0,No,0,Offer D,Yes,41.37,Yes,Yes,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,10,Yes
Female,76,Yes,No,No,0,No,0,None,Yes,30.14,No,Yes,6,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,3,3,Yes
Male,77,Yes,Yes,No,0,Yes,1,Offer D,Yes,6.97,No,Yes,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,12,Yes
Male,74,Yes,No,No,0,No,0,None,Yes,6.51,No,Yes,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,2,Yes
Male,77,Yes,No,No,0,No,0,None,Yes,49.6,Yes,Yes,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,1,Yes
Male,76,Yes,Yes,No,0,Yes,1,Offer D,Yes,1.47,No,Yes,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,13,Yes
Female,77,Yes,No,No,0,No,0,Offer D,Yes,31.17,No,Yes,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,23,Yes
Female,80,Yes,Yes,No,0,Yes,1,Offer D,Yes,36.82,Yes,Yes,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,17,Yes
Male,68,Yes,No,No,0,No,0,None,Yes,40.93,No,Yes,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,17,Yes
Female,79,Yes,No,No,0,No,0,None,Yes,9.53,Yes,Yes,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,42,Yes
Male,65,Yes,No,No,0,No,0,None,Yes,42.3,No,Yes,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,1,Yes
Male,68,Yes,No,No,0,No,0,Offer E,Yes,39.78,No,Yes,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,2,1,Yes
Female,72,Yes,No,No,0,No,0,Offer E,Yes,34.51,No,Yes,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,1,Yes
Female,66,Yes,No,No,0,No,0,None,Yes,27.95,Yes,Yes,23,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,41,Yes
Male,68,Yes,No,No,0,No,0,None,Yes,26.11,No,Yes,4,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1,13,Yes
Male,69,Yes,Yes,No,0,Yes,1,None,Yes,5.99,Yes,Yes,23,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,32,Yes
Male,76,Yes,Yes,No,0,Yes,1,None,Yes,49.6,Yes,Yes,10,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,1,32,Yes
Male,70,Yes,Yes,No,0,Yes,1,None,No,0,No,Yes,3,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,57,Yes
Male,71,Yes,No,No,0,No,0,Offer E,Yes,15.28,No,Yes,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2,1,Yes
Male,75,Yes,No,No,0,No,0,Offer E,No,0,No,Yes,26,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,1,Yes
Female,67,Yes,No,No,0,No,0,None,Yes,26.1,No,Yes,27,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,1,38,Yes
Female,65,Yes,Yes,No,0,Yes,1,None,Yes,15.98,Yes,Yes,22,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,35,Yes
Female,80,Yes,No,No,0,No,0,Offer E,Yes,15.24,No,Yes,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,1,1,Yes
Male,71,Yes,Yes,No,0,Yes,1,None,Yes,4.65,No,Yes,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,30,Yes
Female,70,Yes,No,No,0,No,0,Offer E,Yes,12.27,No,Yes,20,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,3,5,Yes
Male,73,Yes,No,No,0,No,0,Offer E,Yes,30.17,Yes,Yes,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,1,Yes
Male,78,Yes,Yes,No,0,Yes,1,None,Yes,49.38,Yes,Yes,19,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,1,58,Yes
Female,76,Yes,No,No,0,No,0,None,Yes,17.51,Yes,Yes,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,16,Yes
Female,73,Yes,No,No,0,No,0,Offer E,Yes,22.5,No,Yes,27,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,1,Yes
Female,68,Yes,Yes,No,0,Yes,1,Offer E,Yes,47.28,Yes,Yes,11,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,5,Yes
Male,79,Yes,No,No,0,No,0,None,Yes,42.27,No,Yes,7,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,21,Yes
Female,67,Yes,No,No,0,No,0,None,Yes,31.83,No,Yes,10,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,1,43,Yes
Female,69,Yes,Yes,No,0,Yes,1,None,Yes,33.74,Yes,Yes,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,32,Yes
Female,72,Yes,No,No,0,No,0,Offer E,Yes,18.2,No,Yes,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,1,Yes
Male,75,Yes,Yes,No,0,Yes,1,None,Yes,25.78,Yes,Yes,28,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,3,29,Yes
Male,67,Yes,Yes,No,0,Yes,1,None,Yes,31.7,Yes,Yes,6,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,13,Yes
Male,72,Yes,Yes,No,0,Yes,1,None,Yes,8.92,Yes,Yes,17,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,3,7,Yes
Female,68,Yes,No,No,0,No,0,None,Yes,21.57,Yes,Yes,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,2,Yes
Female,68,Yes,No,No,0,No,0,None,Yes,43.61,No,Yes,2,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3,1,Yes
Male,75,Yes,Yes,No,0,Yes,1,None,Yes,16.05,No,Yes,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,2,7,Yes
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,49.91,Yes,Yes,21,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,57,Yes
Female,78,Yes,Yes,No,0,Yes,4,None,Yes,17.35,Yes,Yes,23,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,1,Yes
Male,66,Yes,Yes,No,0,Yes,2,None,Yes,1.05,No,Yes,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,17,Yes
Female,73,Yes,No,No,0,No,0,None,Yes,18.38,No,Yes,20,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,3,Yes
Male,79,Yes,Yes,No,0,Yes,1,Offer A,Yes,28.86,Yes,Yes,25,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,1,66,Yes
Male,69,Yes,Yes,No,0,Yes,1,Offer A,Yes,48.88,Yes,Yes,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,3,69,Yes
Female,65,Yes,Yes,No,0,Yes,2,None,Yes,44.13,Yes,Yes,3,No,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,3,15,Yes
Female,68,Yes,No,No,0,No,0,None,Yes,34.58,Yes,Yes,4,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,3,56,Yes
Female,79,Yes,No,No,0,No,0,None,Yes,21.15,Yes,Yes,9,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,21,Yes
Female,80,Yes,No,No,0,No,0,None,Yes,47.97,No,Yes,8,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,1,Yes
Male,77,Yes,Yes,No,0,Yes,3,None,Yes,7.92,Yes,Yes,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,2,32,Yes
Female,65,Yes,Yes,No,0,Yes,1,None,Yes,49.5,Yes,Yes,20,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1,40,Yes
Male,66,Yes,No,No,0,No,0,None,No,0,No,Yes,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,3,2,Yes
